Synonyms	Symbol	Chromosome
dJ550H1.1	HMGB3P2	20
GAB4	GAB4	22
-	GAB4	22
C22orf39	C22orf39	22
-	C22orf39	22
TANGO2	TANGO2	22
C22orf25	TANGO2	22
MECRCN	TANGO2	22
SLC9A3P2	SLC9A3P2	22
-	SLC9A3P2	22
ZNF280A	ZNF280A	22
3'OY11.1	ZNF280A	22
SUHW1	ZNF280A	22
ZNF280	ZNF280A	22
ZNF636	ZNF280A	22
LOC129026	LOC129026	22
-	LOC129026	22
SGSM1	SGSM1	22
RUTBC2	SGSM1	22
EMID1	EMID1	22
EMI5	EMID1	22
EMU1	EMID1	22
CPSF1P1	CPSF1P1	22
dJ90G24.5	CPSF1P1	22
ANKRD54	ANKRD54	22
LIAR	ANKRD54	22
PPP1R21	PPP1R21	2
CCDC128	PPP1R21	2
KLRAQ1	PPP1R21	2
TRABD2A	TRABD2A	2
C2orf89	TRABD2A	2
TIKI1	TRABD2A	2
TMEM150A	TMEM150A	2
TM6P1	TMEM150A	2
TMEM150	TMEM150A	2
TTN1	TMEM150A	2
NUP35	NUP35	2
MP-44	NUP35	2
MP44	NUP35	2
NP44	NUP35	2
NUP53	NUP35	2
LIN28AP1	LIN28AP1	2
-	LIN28AP1	2
XIRP2	XIRP2	2
CMYA3	XIRP2	2
TYW5	TYW5	2
C2orf60	TYW5	2
hTYW5	TYW5	2
NMS	NMS	2
-	NMS	2
LOC129522	LOC129522	2
-	LOC129522	2
LYG1	LYG1	2
SALW1939	LYG1	2
MITD1	MITD1	2
-	MITD1	2
AHCYP4	AHCYP4	2
-	AHCYP4	2
DIS3L2	DIS3L2	2
FAM6A	DIS3L2	2
PRLMNS	DIS3L2	2
hDIS3L2	DIS3L2	2
CMPK2	CMPK2	2
NDK	CMPK2	2
TMPK2	CMPK2	2
TYKi	CMPK2	2
UMP-CMPK2	CMPK2	2
MBOAT2	MBOAT2	2
LPAAT	MBOAT2	2
LPCAT4	MBOAT2	2
LPEAT	MBOAT2	2
LPLAT 2	MBOAT2	2
OACT2	MBOAT2	2
LOC129656	LOC129656	2
-	LOC129656	2
CNTNAP5	CNTNAP5	2
caspr5	CNTNAP5	2
TAF8	TAF8	6
II	TAF8	6
TAF	TAF8	6
TAFII-43	TAF8	6
TAFII43	TAF8	6
TBN	TAF8	6
TMEM18	TMEM18	2
-	TMEM18	2
C7orf13	C7orf13	7
MY040	C7orf13	7
FBLN7	FBLN7	2
TM14	FBLN7	2
NEU4	NEU4	2
-	NEU4	2
RBM45	RBM45	2
DRB1	RBM45	2
RB-1	RBM45	2
RPSAP25	RPSAP25	2
RPSA_7_299	RPSAP25	2
C2orf73	C2orf73	2
-	C2orf73	2
TRIM43	TRIM43	2
TRIM43A	TRIM43	2
UBTFL3	UBTFL3	2
UBTFL5	UBTFL3	2
BBS5	BBS5	2
-	BBS5	2
CCDC173	CCDC173	2
C2orf77	CCDC173	2
ACMSD	ACMSD	2
-	ACMSD	2
ICA1L	ICA1L	2
ALS2CR14	ICA1L	2
ALS2CR15	ICA1L	2
FAM168B	FAM168B	2
MANI	FAM168B	2
OR9A4	OR9A4	7
-	OR9A4	7
CIB4	CIB4	2
KIP4	CIB4	2
REG3G	REG3G	2
LPPM429	REG3G	2
PAP IB	REG3G	2
PAP-1B	REG3G	2
PAP1B	REG3G	2
PAPIB	REG3G	2
REG III	REG3G	2
REG-III	REG3G	2
UNQ429	REG3G	2
RFTN2	RFTN2	2
C2orf11	RFTN2	2
Raftlin-2	RFTN2	2
CLHC1	CLHC1	2
C2orf63	CLHC1	2
HSPA8P6	HSPA8P6	2
-	HSPA8P6	2
PLEKHH2	PLEKHH2	2
PLEKHH1L	PLEKHH2	2
AP1S3	AP1S3	2
PSORS15	AP1S3	2
C2orf76	C2orf76	2
AIM29	C2orf76	2
SGPP2	SGPP2	2
SPP2	SGPP2	2
SPPase2	SGPP2	2
ACVR1C	ACVR1C	2
ACVRLK7	ACVR1C	2
ALK7	ACVR1C	2
RPSAP27	RPSAP27	2
RPSA_8_320	RPSAP27	2
OSR1	OSR1	2
ODD	OSR1	2
CISD1P1	CISD1P1	2
CISD1B	CISD1P1	2
ZCD1B	CISD1P1	2
TTC32	TTC32	2
-	TTC32	2
UBR3	UBR3	2
ZNF650	UBR3	2
KCTD18	KCTD18	2
6530404F10Rik	KCTD18	2
ALS2CR12	ALS2CR12	2
-	ALS2CR12	2
ZNF513	ZNF513	2
HMFT0656	ZNF513	2
RP58	ZNF513	2
SPATA3	SPATA3	2
TSARG1	SPATA3	2
LYPD6	LYPD6	2
-	LYPD6	2
LYPD6B	LYPD6B	2
CT116	LYPD6B	2
LYPD7	LYPD6B	2
GALM	GALM	2
BLOCK25	GALM	2
GLAT	GALM	2
HEL-S-63p	GALM	2
IBD1	GALM	2
TMEM198	TMEM198	2
TMEM198A	TMEM198	2
ZFAND2B	ZFAND2B	2
AIRAPL	ZFAND2B	2
RPLP1P5	RPLP1P5	2
RPLP1_1_196	RPLP1P5	2
PSMB3P2	PSMB3P2	2
-	PSMB3P2	2
RPL7P13	RPL7P13	2
RPL7_4_218	RPL7P13	2
TMEM178A	TMEM178A	2
TMEM178	TMEM178A	2
CPO	CPO	2
-	CPO	2
MDH1B	MDH1B	2
RP11-95H11	MDH1B	2
RPL23AP37	RPL23AP37	2
RPL23A_5_234	RPL23AP37	2
DNMT3AP1	DNMT3AP1	2
-	DNMT3AP1	2
C2orf50	C2orf50	2
-	C2orf50	2
PQLC3	PQLC3	2
C2orf22	PQLC3	2
TMEM182	TMEM182	2
-	TMEM182	2
RPL26P13	RPL26P13	2
RPL26_6_221	RPL26P13	2
AHSA2	AHSA2	2
AHA1	AHSA2	2
Hch1	AHSA2	2
FBXO36	FBXO36	2
Fbx36	FBXO36	2
MTERF4	MTERF4	2
MTERFD2	MTERF4	2
CCDC148	CCDC148	2
-	CCDC148	2
M1AP	M1AP	2
C2orf65	M1AP	2
D6Mm5e	M1AP	2
SPATA37	M1AP	2
CPNE4	CPNE4	3
COPN4	CPNE4	3
CPN4	CPNE4	3
LOC131054	LOC131054	3
-	LOC131054	3
LOC131055	LOC131055	3
-	LOC131055	3
CCDC58	CCDC58	3
-	CCDC58	3
KCNH8	KCNH8	3
ELK	KCNH8	3
ELK1	KCNH8	3
Kv12.1	KCNH8	3
elk3	KCNH8	3
DNAJC19	DNAJC19	3
PAM18	DNAJC19	3
TIM14	DNAJC19	3
TIMM14	DNAJC19	3
OTOL1	OTOL1	3
C1QTNF15	OTOL1	3
FAM3D	FAM3D	3
EF7	FAM3D	3
OIT1	FAM3D	3
RAD23BP1	RAD23BP1	3
-	RAD23BP1	3
ZPLD1	ZPLD1	3
-	ZPLD1	3
LYZL4	LYZL4	3
LYC4	LYZL4	3
LYZA	LYZL4	3
KLHL40	KLHL40	3
KBTBD5	KLHL40	3
NEM8	KLHL40	3
SRYP	KLHL40	3
SYRP	KLHL40	3
TRIM71	TRIM71	3
LIN-41	TRIM71	3
LIN41	TRIM71	3
FAM131A	FAM131A	3
C3orf40	FAM131A	3
FLAT715	FAM131A	3
PRO1378	FAM131A	3
CD200R1	CD200R1	3
CD200R	CD200R1	3
HCRTR2	CD200R1	3
MOX2R	CD200R1	3
OX2R	CD200R1	3
CHCHD4	CHCHD4	3
MIA40	CHCHD4	3
TIMM40	CHCHD4	3
ZDHHC19	ZDHHC19	3
DHHC19	ZDHHC19	3
CRYBG3	CRYBG3	3
DKFZp667G2110	CRYBG3	3
vlAKAP	CRYBG3	3
DCBLD2	DCBLD2	3
CLCP1	DCBLD2	3
ESDN	DCBLD2	3
MESTP4	MESTP4	3
-	MESTP4	3
LRRC15	LRRC15	3
LIB	LRRC15	3
FAM43A	FAM43A	3
-	FAM43A	3
TPRA1	TPRA1	3
GPR175	TPRA1	3
TMEM227	TPRA1	3
TPRA40	TPRA1	3
TMEM42	TMEM42	3
-	TMEM42	3
UROC1	UROC1	3
HMFN0320	UROC1	3
UROCD	UROC1	3
ERICH6	ERICH6	3
C3orf44	ERICH6	3
ERICH6A	ERICH6	3
FAM194A	ERICH6	3
NUDT16	NUDT16	3
-	NUDT16	3
COL6A6	COL6A6	3
-	COL6A6	3
GRK7	GRK7	3
GPRK7	GRK7	3
FAM172BP	FAM172BP	3
FAM172B	FAM172BP	3
TMEM207	TMEM207	3
UNQ846	TMEM207	3
IMPDH1P8	IMPDH1P8	3
-	IMPDH1P8	3
METTL6	METTL6	3
-	METTL6	3
RHBDF1P1	RHBDF1P1	3
-	RHBDF1P1	3
TAMM41	TAMM41	3
C3orf31	TAMM41	3
RAM41	TAMM41	3
TAM41	TAMM41	3
IL17RE	IL17RE	3
-	IL17RE	3
RTP1	RTP1	3
Z3CXXC1	RTP1	3
IQCF1	IQCF1	3
-	IQCF1	3
GLYCTK	GLYCTK	3
HBEBP2	GLYCTK	3
HBEBP4	GLYCTK	3
HBeAgBP4A	GLYCTK	3
PPM1M	PPM1M	3
PP2C-eta	PPM1M	3
PP2CE	PPM1M	3
PP2Ceta	PPM1M	3
C3orf49	C3orf49	3
-	C3orf49	3
SNTN	SNTN	3
S100A1L	SNTN	3
S100AL	SNTN	3
sentan	SNTN	3
SYNPR	SYNPR	3
SPO	SYNPR	3
LSMEM2	LSMEM2	3
C3orf45	LSMEM2	3
RPL32P3	RPL32P3	3
-	RPL32P3	3
H1FOO	H1FOO	3
H1.8	H1FOO	3
H1oo	H1FOO	3
osH1	H1FOO	3
DAP4C	DAP4C	3
-	DAP4C	3
OCIAD2	OCIAD2	4
-	OCIAD2	4
SCLT1	SCLT1	4
CAP-1A	SCLT1	4
CAP1A	SCLT1	4
C4orf33	C4orf33	4
-	C4orf33	4
TMEM155	TMEM155	4
-	TMEM155	4
LOC132386	LOC132386	4
-	LOC132386	4
KRT18P21	KRT18P21	4
-	KRT18P21	4
PABPC4L	PABPC4L	4
-	PABPC4L	4
BTF3P13	BTF3P13	4
BTF3L3	BTF3P13	4
HUMBTFD	BTF3P13	4
ADAD1	ADAD1	4
Tenr	ADAD1	4
ZFP42	ZFP42	4
REX-1	ZFP42	4
REX1	ZFP42	4
ZNF754	ZFP42	4
zfp-42	ZFP42	4
LIN54	LIN54	4
CXCDC1	LIN54	4
JC8.6	LIN54	4
MIP120	LIN54	4
TCX1	LIN54	4
SPATA18	SPATA18	4
Mieap	SPATA18	4
SPETEX1	SPATA18	4
TUBB8P3	TUBB8P3	4
-	TUBB8P3	4
C4orf32	C4orf32	4
-	C4orf32	4
TMPRSS11B	TMPRSS11B	4
-	TMPRSS11B	4
GNPDA2	GNPDA2	4
GNP2	GNPDA2	4
SB52	GNPDA2	4
RBM48P1	RBM48P1	4
-	RBM48P1	4
SPATA4	SPATA4	4
SPEF1B	SPATA4	4
TSARG2	SPATA4	4
CPEB2	CPEB2	4
CPE-BP2	CPEB2	4
CPEB-2	CPEB2	4
hCPEB-2	CPEB2	4
EVC2	EVC2	4
LBN	EVC2	4
WAD	EVC2	4
ARL9	ARL9	4
-	ARL9	4
AASDH	AASDH	4
ACSF4	AASDH	4
LYS2	AASDH	4
NRPS1098	AASDH	4
NRPS998	AASDH	4
PDCL2	PDCL2	4
GCPHLP	PDCL2	4
C4orf36	C4orf36	4
-	C4orf36	4
PACRGL	PACRGL	4
C4orf28	PACRGL	4
TRAM1L1	TRAM1L1	4
-	TRAM1L1	4
OTOP1	OTOP1	4
-	OTOP1	4
PMPCAP1	PMPCAP1	4
-	PMPCAP1	4
ENPP6	ENPP6	4
NPP6	ENPP6	4
SULT1D1P	SULT1D1P	4
SULT1D1	SULT1D1P	4
EEF1A1P13	EEF1A1P13	5
EEF1AL11	EEF1A1P13	5
SLC9B2	SLC9B2	4
NHA2	SLC9B2	4
NHE10	SLC9B2	4
NHEDC2	SLC9B2	4
LOC133332	LOC133332	4
-	LOC133332	4
SETD9	SETD9	5
C5orf35	SETD9	5
IL31RA	IL31RA	5
CRL	IL31RA	5
CRL3	IL31RA	5
GLM-R	IL31RA	5
GLMR	IL31RA	5
GPL	IL31RA	5
IL-31RA	IL31RA	5
PLCA2	IL31RA	5
PRO21384	IL31RA	5
hGLM-R	IL31RA	5
EMB	EMB	5
GP70	EMB	5
SLCO6A1	SLCO6A1	5
CT48	SLCO6A1	5
GST	SLCO6A1	5
OATP-I	SLCO6A1	5
OATP6A1	SLCO6A1	5
OATPY	SLCO6A1	5
C5orf47	C5orf47	5
-	C5orf47	5
PPARGC1B	PPARGC1B	5
ERRL1	PPARGC1B	5
PERC	PPARGC1B	5
PGC-1(beta)	PPARGC1B	5
PGC1B	PPARGC1B	5
MROH2B	MROH2B	5
HEATR7B2	MROH2B	5
RPS10P12	RPS10P12	5
RPS10_5_559	RPS10P12	5
EGFLAM	EGFLAM	5
AGRINL	EGFLAM	5
AGRNL	EGFLAM	5
PIKA	EGFLAM	5
RPLP1P7	RPLP1P7	5
RPLP1_4_611	RPLP1P7	5
MRPS5P3	MRPS5P3	5
-	MRPS5P3	5
PRRC1	PRRC1	5
-	PRRC1	5
RPL11P2	RPL11P2	5
RPL11_1_612	RPL11P2	5
NADK2	NADK2	5
C5orf33	NADK2	5
DECRD	NADK2	5
MNADK	NADK2	5
NADKD1	NADK2	5
UGT3A1	UGT3A1	5
-	UGT3A1	5
CAPSL	CAPSL	5
-	CAPSL	5
JMY	JMY	5
WHAMM2	JMY	5
WHDC1L3	JMY	5
RPL7AP32	RPL7AP32	5
RPL7A_8_583	RPL7AP32	5
RAB5CP2	RAB5CP2	5
-	RAB5CP2	5
RPS18P7	RPS18P7	5
RPS18_4_595	RPS18P7	5
C5orf58	C5orf58	5
-	C5orf58	5
ZNF474	ZNF474	5
-	ZNF474	5
CCDC127	CCDC127	5
-	CCDC127	5
MRPL11P2	MRPL11P2	5
-	MRPL11P2	5
OR2AI1P	OR2AI1P	5
-	OR2AI1P	5
OR2Y1	OR2Y1	5
OR5-2	OR2Y1	5
UBE2QL1	UBE2QL1	5
-	UBE2QL1	5
C5orf49	C5orf49	5
-	C5orf49	5
FAM173B	FAM173B	5
JS-2	FAM173B	5
CMBL	CMBL	5
JS-1	CMBL	5
POU5F2	POU5F2	5
SPRM-1	POU5F2	5
DNAJC21	DNAJC21	5
BMFS3	DNAJC21	5
DNAJA5	DNAJC21	5
GS3	DNAJC21	5
JJJ1	DNAJC21	5
AFAP1L1	AFAP1L1	5
-	AFAP1L1	5
GRPEL2	GRPEL2	5
Mt-GrpE#2	GRPEL2	5
TMEM171	TMEM171	5
PRP2	TMEM171	5
TMEM174	TMEM174	5
-	TMEM174	5
LSM11	LSM11	5
-	LSM11	5
POC5	POC5	5
C5orf37	POC5	5
GPR151	GPR151	5
GALR4	GPR151	5
GALRL	GPR151	5
GPCR	GPR151	5
PGR7	GPR151	5
STARD4	STARD4	5
-	STARD4	5
WDR36	WDR36	5
GLC1G	WDR36	5
TA-WDRP	WDR36	5
TAWDRP	WDR36	5
UTP21	WDR36	5
ZNF300P1	ZNF300P1	5
-	ZNF300P1	5
MRPL57P6	MRPL57P6	5
MRP63P6	MRPL57P6	5
NUDCD2	NUDCD2	5
NudCL2	NUDCD2	5
EIF3KP1	EIF3KP1	5
-	EIF3KP1	5
UBLCP1	UBLCP1	5
CPUB1	UBLCP1	5
ACOT12	ACOT12	5
CACH-1	ACOT12	5
Cach	ACOT12	5
STARD15	ACOT12	5
THEAL	ACOT12	5
SOWAHA	SOWAHA	5
ANKRD43	SOWAHA	5
SHROOM1	SHROOM1	5
APXL2	SHROOM1	5
C5orf24	C5orf24	5
-	C5orf24	5
ADAT2	ADAT2	6
DEADC1	ADAT2	6
TAD2	ADAT2	6
dJ20N2	ADAT2	6
dJ20N2.1	ADAT2	6
RIPPLY2	RIPPLY2	6
C6orf159	RIPPLY2	6
SCDO6	RIPPLY2	6
dJ237I15.1	RIPPLY2	6
IRAK1BP1	IRAK1BP1	6
AIP70	IRAK1BP1	6
SIMPL	IRAK1BP1	6
RPL29P1	RPL29P1	6
RPL29_5_654	RPL29P1	6
dJ336K20B.2	RPL29P1	6
CLVS2	CLVS2	6
C6orf212	CLVS2	6
C6orf213	CLVS2	6
RLBP1L2	CLVS2	6
bA160A10.4	CLVS2	6
TAAR9	TAAR9	6
TA3	TAAR9	6
TAR3	TAAR9	6
TAR9	TAAR9	6
TRAR3	TAAR9	6
TAAR1	TAAR1	6
TA1	TAAR1	6
TAR1	TAAR1	6
TRAR1	TAAR1	6
STXBP5	STXBP5	6
LGL3	STXBP5	6
LLGL3	STXBP5	6
Nbla04300	STXBP5	6
PPIAP29	PPIAP29	6
-	PPIAP29	6
NCOA7	NCOA7	6
ERAP140	NCOA7	6
ESNA1	NCOA7	6
NCOA7-AS	NCOA7	6
Nbla00052	NCOA7	6
Nbla10993	NCOA7	6
TLDC4	NCOA7	6
dJ187J11.3	NCOA7	6
HINT3	HINT3	6
HINT4	HINT3	6
PACRG	PACRG	6
GLUP	PACRG	6
HAK005771	PACRG	6
PARK2CRG	PACRG	6
B3GAT2	B3GAT2	6
GLCATS	B3GAT2	6
SDHAF4	SDHAF4	6
C6orf57	SDHAF4	6
Sdh8	SDHAF4	6
CD109	CD109	6
CPAMD7	CD109	6
p180	CD109	6
r150	CD109	6
RAET1E	RAET1E	6
LETAL	RAET1E	6
N2DL-4	RAET1E	6
NKG2DL4	RAET1E	6
RAET1E2	RAET1E	6
RL-4	RAET1E	6
ULBP4	RAET1E	6
bA350J20.7	RAET1E	6
COPS5P1	COPS5P1	6
COPS5P	COPS5P1	6
PM20D2	PM20D2	6
ACY1L2	PM20D2	6
bA63L7.3	PM20D2	6
SRSF12	SRSF12	6
SFRS13B	SRSF12	6
SFRS19	SRSF12	6
SRrp35	SRSF12	6
C6orf141	C6orf141	6
-	C6orf141	6
HUS1B	HUS1B	6
-	HUS1B	6
TRIM40	TRIM40	6
RNF35	TRIM40	6
DPCR1	DPCR1	6
PBLT	DPCR1	6
WBSCR28	WBSCR28	7
-	WBSCR28	7
TRIM50	TRIM50	7
TRIM50A	TRIM50	7
OR9A2	OR9A2	7
-	OR9A2	7
C7orf34	C7orf34	7
ctm-1	C7orf34	7
TMEM139	TMEM139	7
-	TMEM139	7
NOBOX	NOBOX	7
OG-2	NOBOX	7
OG2	NOBOX	7
OG2X	NOBOX	7
POF5	NOBOX	7
TCAG_12042	NOBOX	7
OR2A14	OR2A14	7
OR2A14P	OR2A14	7
OR2A6	OR2A14	7
OST182	OR2A14	7
OR2A15P	OR2A15P	7
OR2A23P	OR2A15P	7
OR2A28P	OR2A15P	7
OR6B1	OR6B1	7
OR7-3	OR6B1	7
OR7-9	OR6B1	7
OR2F2	OR2F2	7
OR7-1	OR2F2	7
ZNF786	ZNF786	7
-	ZNF786	7
SSU72P8	SSU72P8	7
-	SSU72P8	7
COL26A1	COL26A1	7
EMI6	COL26A1	7
EMID2	COL26A1	7
EMU2	COL26A1	7
SH2B	COL26A1	7
PRSS37	PRSS37	7
TRYX2	PRSS37	7
KLF14	KLF14	7
BTEB5	KLF14	7
SSMEM1	SSMEM1	7
C7orf45	SSMEM1	7
C7orf57	C7orf57	7
-	C7orf57	7
SVOPL	SVOPL	7
-	SVOPL	7
IMPDH1P3	IMPDH1P3	7
-	IMPDH1P3	7
MTPN	MTPN	7
GCDP	MTPN	7
V-1	MTPN	7
LRGUK	LRGUK	7
CFAP246	LRGUK	7
ASB10	ASB10	7
GLC1F	ASB10	7
PRSS3P3	PRSS3P3	7
TRY3	PRSS3P3	7
PRSS58	PRSS58	7
PRSS1	PRSS58	7
TRY1	PRSS58	7
TRYX3	PRSS58	7
UNQ2540	PRSS58	7
MPLKIP	MPLKIP	7
ABHS	MPLKIP	7
C7orf11	MPLKIP	7
ORF20	MPLKIP	7
TTD4	MPLKIP	7
SSC4D	SSC4D	7
S4D-SRCRB	SSC4D	7
SRCRB-S4D	SSC4D	7
SRCRB4D	SSC4D	7
C7orf31	C7orf31	7
-	C7orf31	7
ASZ1	ASZ1	7
ALP1	ASZ1	7
ANKL1	ASZ1	7
C7orf7	ASZ1	7
CT1.19	ASZ1	7
GASZ	ASZ1	7
Orf3	ASZ1	7
PPM1AP1	PPM1AP1	8
-	PPM1AP1	8
CLDN23	CLDN23	8
CLDNL	CLDN23	8
hCG1646163	CLDN23	8
RPL10AP3	RPL10AP3	8
HsT23218	RPL10AP3	8
RPL10A_5_891	RPL10AP3	8
PSAT1P1	PSAT1P1	8
C8orf62	PSAT1P1	8
CCDC26	CCDC26	8
RAM	CCDC26	8
ZNF572	ZNF572	8
-	ZNF572	8
MRPL9P1	MRPL9P1	8
-	MRPL9P1	8
GOT1L1	GOT1L1	8
-	GOT1L1	8
FAM92A	FAM92A	8
FAM92A1	FAM92A	8
MRPS16P1	MRPS16P1	8
-	MRPS16P1	8
VPS37A	VPS37A	8
HCRP1	VPS37A	8
PQBP2	VPS37A	8
SPG53	VPS37A	8
CKS1BP7	CKS1BP7	8
CKS1	CKS1BP7	8
CKS1A	CKS1BP7	8
NDUFAF6	NDUFAF6	8
C8orf38	NDUFAF6	8
TMEM68	TMEM68	8
-	TMEM68	8
ABRA	ABRA	8
STARS	ABRA	8
LYPD2	LYPD2	8
LYPDC2	LYPD2	8
UNQ430	LYPD2	8
NKX2-6	NKX2-6	8
CSX2	NKX2-6	8
CTHM	NKX2-6	8
NKX2F	NKX2-6	8
NKX4-2	NKX2-6	8
TMEM71	TMEM71	8
-	TMEM71	8
SGCZ	SGCZ	8
ZSG1	SGCZ	8
ADHFE1	ADHFE1	8
ADH8	ADHFE1	8
HMFT2263	ADHFE1	8
HOT	ADHFE1	8
UBXN2B	UBXN2B	8
p37	UBXN2B	8
PXDNL	PXDNL	8
PMR1	PXDNL	8
PRM1	PXDNL	8
VPO2	PXDNL	8
GPAT4	GPAT4	8
1-AGPAT 6	GPAT4	8
AGPAT6	GPAT4	8
LPAAT-zeta	GPAT4	8
LPAATZ	GPAT4	8
TSARG7	GPAT4	8
UNC5D	UNC5D	8
PRO34692	UNC5D	8
Unc5h4	UNC5D	8
LETM2	LETM2	8
-	LETM2	8
DCAF4L2	DCAF4L2	8
WDR21C	DCAF4L2	8
RALYL	RALYL	8
HNRPCL3	RALYL	8
HGSNAT	HGSNAT	8
HGNAT	HGSNAT	8
MPS3C	HGSNAT	8
RP73	HGSNAT	8
TMEM76	HGSNAT	8
RNF183	RNF183	9
-	RNF183	9
NACC2	NACC2	9
BEND9	NACC2	9
BTBD14	NACC2	9
BTBD14A	NACC2	9
BTBD31	NACC2	9
NAC-2	NACC2	9
RBB	NACC2	9
LOC138159	LOC138159	9
-	LOC138159	9
C9orf116	C9orf116	9
PIERCE1	C9orf116	9
RbEST47	C9orf116	9
CARNMT1	CARNMT1	9
C9orf41	CARNMT1	9
UPF0586	CARNMT1	9
ATP5HP2	ATP5HP2	9
-	ATP5HP2	9
C9orf57	C9orf57	9
-	C9orf57	9
C9orf85	C9orf85	9
-	C9orf85	9
C9orf135	C9orf135	9
-	C9orf135	9
LCN8	LCN8	9
EP17	LCN8	9
LCN5	LCN8	9
FAM69B	FAM69B	9
C9orf136	FAM69B	9
pp6977	FAM69B	9
SLC25A6P2	SLC25A6P2	9
-	SLC25A6P2	9
PTRH1	PTRH1	9
C9orf115	PTRH1	9
PTH1	PTRH1	9
PIP5KL1	PIP5KL1	9
PIPKH	PIP5KL1	9
bA203J24.5	PIP5KL1	9
TAF1L	TAF1L	9
TAF(II)210	TAF1L	9
TAF2A2	TAF1L	9
PTPDC1	PTPDC1	9
PTP9Q22	PTPDC1	9
ANKRD19P	ANKRD19P	9
ANKRD19	ANKRD19P	9
bA526D8.2	ANKRD19P	9
PRSS47	PRSS47	9
-	PRSS47	9
ARID3C	ARID3C	9
-	ARID3C	9
RPP25L	RPP25L	9
C9orf23	RPP25L	9
bA296L22.5	RPP25L	9
C9orf131	C9orf131	9
-	C9orf131	9
OR13C5	OR13C5	9
OR9-11	OR13C5	9
OR13C8	OR13C8	9
OR37H	OR13C8	9
OR9-10	OR13C8	9
OR13C3	OR13C3	9
OR37G	OR13C3	9
OR9-8	OR13C3	9
OR13C4	OR13C4	9
HSHTPCRX17	OR13C4	9
HTPCRX17	OR13C4	9
OR2K1	OR13C4	9
OR37F	OR13C4	9
OR9-7	OR13C4	9
OR13F1	OR13F1	9
OR9-6	OR13F1	9
ATP5HP3	ATP5HP3	9
-	ATP5HP3	9
OR1L8	OR1L8	9
OR9-24	OR1L8	9
OR1N2	OR1N2	9
OR9-23	OR1N2	9
OR1N1	OR1N1	9
OR1-26	OR1N1	9
OR1N3	OR1N1	9
OR9-22	OR1N1	9
SYNGR2P2	SYNGR2P2	9
-	SYNGR2P2	9
DBH-AS1	DBH-AS1	9
NCRNA00118	DBH-AS1	9
DPP3P2	DPP3P2	9
-	DPP3P2	9
PSMAGEA	PSMAGEA	X
-	PSMAGEA	X
KRT18P68	KRT18P68	X
-	KRT18P68	X
LOC139061	LOC139061	X
-	LOC139061	X
SLITRK4	SLITRK4	X
-	SLITRK4	X
SPANXN3	SPANXN3	X
CT11.8	SPANXN3	X
SPANX-N3	SPANXN3	X
MAGEC3	MAGEC3	X
CT7.2	MAGEC3	X
HCA2	MAGEC3	X
MAGE-C3	MAGEC3	X
MAGEC4	MAGEC3	X
BEND2	BEND2	X
CXorf20	BEND2	X
PASD1	PASD1	X
CT63	PASD1	X
OXTES1	PASD1	X
SALL1P1	SALL1P1	X
SALL1P	SALL1P1	X
DCAF12L1	DCAF12L1	X
KIAA1892L	DCAF12L1	X
WDR40B	DCAF12L1	X
DGKK	DGKK	X
-	DGKK	X
MAP2K4P1	MAP2K4P1	X
-	MAP2K4P1	X
PIH1D3	PIH1D3	X
CXorf41	PIH1D3	X
NYSAR97	PIH1D3	X
MUM1L1	MUM1L1	X
-	MUM1L1	X
FAM199X	FAM199X	X
CXorf39	FAM199X	X
FAM47DP	FAM47DP	X
-	FAM47DP	X
AMER1	AMER1	X
FAM123B	AMER1	X
OSCS	AMER1	X
WTX	AMER1	X
APOOL	APOOL	X
CXorf33	APOOL	X
FAM121A	APOOL	X
Mic27	APOOL	X
UNQ8193	APOOL	X
HDX	HDX	X
CXorf43	HDX	X
D030011N01Rik	HDX	X
IMPDH1P4	IMPDH1P4	X
-	IMPDH1P4	X
FUNDC1	FUNDC1	X
-	FUNDC1	X
MAGEA13P	MAGEA13P	X
-	MAGEA13P	X
ADGRG4	ADGRG4	X
GPR112	ADGRG4	X
PGR17	ADGRG4	X
RP1-299I16	ADGRG4	X
PTCHD1	PTCHD1	X
AUTSX4	PTCHD1	X
PPP4R3CP	PPP4R3CP	X
FLFL3P	PPP4R3CP	X
SMEK3P	PPP4R3CP	X
smk1	PPP4R3CP	X
MAGEB10	MAGEB10	X
-	MAGEB10	X
DCAF8L1	DCAF8L1	X
WDR42B	DCAF8L1	X
FTH1P14	FTH1P14	X
-	FTH1P14	X
RPL6P30	RPL6P30	X
RPL6_11_1767	RPL6P30	X
AKAP17BP	AKAP17BP	X
AKAP16B	AKAP17BP	X
AKAP16BP	AKAP17BP	X
VENTXP1	VENTXP1	X
CT18	VENTXP1	X
NA88A	VENTXP1	X
VENTX2P1	VENTXP1	X
E2F6P4	E2F6P4	X
-	E2F6P4	X
OTUD6A	OTUD6A	X
DUBA2	OTUD6A	X
HSHIN6	OTUD6A	X
UPRT	UPRT	X
FUR1	UPRT	X
UPP	UPRT	X
MAGEE2	MAGEE2	X
HCA3	MAGEE2	X
MAGEB16	MAGEB16	X
-	MAGEB16	X
FOXR2	FOXR2	X
FOXN6	FOXR2	X
XAGE-4	XAGE-4	X
-	XAGE-4	X
GAB3	GAB3	X
-	GAB3	X
PNCK	PNCK	X
BSTK3	PNCK	X
CaMK1b	PNCK	X
ZFP92	ZFP92	X
ZNF897	ZFP92	X
