Synonyms	Symbol	Chromosome
CD156a	ADAM8	10
MS2	ADAM8	10
ADAM10	ADAM10	15
AD10	ADAM10	15
AD18	ADAM10	15
CD156c	ADAM10	15
CDw156	ADAM10	15
HsT18717	ADAM10	15
MADM	ADAM10	15
RAK	ADAM10	15
kuz	ADAM10	15
ADAR	ADAR	1
ADAR1	ADAR	1
AGS6	ADAR	1
DRADA	ADAR	1
DSH	ADAR	1
DSRAD	ADAR	1
G1P1	ADAR	1
IFI-4	ADAR	1
IFI4	ADAR	1
K88DSRBP	ADAR	1
P136	ADAR	1
ADARB1	ADARB1	21
ADAR2	ADARB1	21
DRABA2	ADARB1	21
DRADA2	ADARB1	21
RED1	ADARB1	21
ADARB2	ADARB2	10
ADAR3	ADARB2	10
RED2	ADARB2	10
ADCP1	ADCP1	6
-	ADCP1	6
ADCY1	ADCY1	7
AC1	ADCY1	7
DFNB44	ADCY1	7
ADCY2	ADCY2	5
AC2	ADCY2	5
HBAC2	ADCY2	5
ADCY3	ADCY3	2
AC-III	ADCY3	2
AC3	ADCY3	2
ADCY5	ADCY5	3
AC5	ADCY5	3
FDFM	ADCY5	3
ADCY6	ADCY6	12
AC6	ADCY6	12
LCCS8	ADCY6	12
ADCY7	ADCY7	16
AC7	ADCY7	16
ADCY8	ADCY8	8
AC8	ADCY8	8
ADCY3	ADCY8	8
HBAC1	ADCY8	8
ADCY9	ADCY9	16
AC9	ADCY9	16
ACIX	ADCY9	16
ADCYAP1	ADCYAP1	18
PACAP	ADCYAP1	18
ADCYAP1R1	ADCYAP1R1	7
PAC1	ADCYAP1R1	7
PAC1R	ADCYAP1R1	7
PACAPR	ADCYAP1R1	7
PACAPRI	ADCYAP1R1	7
ADD1	ADD1	4
ADDA	ADD1	4
ADD2	ADD2	2
ADDB	ADD2	2
ADD3	ADD3	10
ADDL	ADD3	10
CPSQ3	ADD3	10
ADFN	ADFN	X
ALDS	ADFN	X
PLIN2	PLIN2	9
ADFP	PLIN2	9
ADRP	PLIN2	9
ADH1A	ADH1A	4
ADH1	ADH1A	4
ADH1B	ADH1B	4
ADH2	ADH1B	4
HEL-S-117	ADH1B	4
ADH1C	ADH1C	4
ADH3	ADH1C	4
ADH4	ADH4	4
ADH-2	ADH4	4
HEL-S-4	ADH4	4
ADH5	ADH5	4
ADH-3	ADH5	4
ADHX	ADH5	4
FALDH	ADH5	4
FDH	ADH5	4
GSH-FDH	ADH5	4
